"Window","Tag","Status","ExitCode","FinalBalance","CriticalMatches","StartedAt","RunnerLog","TesterDeltaLog"
"1m","t02","DRYRUN","0",,"0","2026-05-01T19:03:37","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_1m_t02.runner.log","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_1m_t02.tester.log"
"1m","t03","DRYRUN","0",,"0","2026-05-01T19:03:38","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_1m_t03.runner.log","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_1m_t03.tester.log"
"1m","t04","DRYRUN","0",,"0","2026-05-01T19:03:39","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_1m_t04.runner.log","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_1m_t04.tester.log"
"1m","t05","DRYRUN","0",,"0","2026-05-01T19:03:40","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_1m_t05.runner.log","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_1m_t05.tester.log"
"1m","t06","DRYRUN","0",,"0","2026-05-01T19:03:41","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_1m_t06.runner.log","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_1m_t06.tester.log"
"3m","t01","DRYRUN","0",,"0","2026-05-01T19:03:42","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_3m_t01.runner.log","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_3m_t01.tester.log"
"3m","t02","DRYRUN","0",,"0","2026-05-01T19:03:42","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_3m_t02.runner.log","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_3m_t02.tester.log"
"3m","t03","DRYRUN","0",,"0","2026-05-01T19:03:43","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_3m_t03.runner.log","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_3m_t03.tester.log"
"3m","t04","DRYRUN","0",,"0","2026-05-01T19:03:43","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_3m_t04.runner.log","C:\Users\G3_Mb\OneDrive\Documentos\Trading\Autotrading\StrategyLab-github\MT5\automation\pack_logs\20260501_190337\strategy_lab_xauusd_m15_3m_t04.tester.log"
